"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 09:41:00",11.173200000000001,-30.7292,0,0,0.03077314,0
"2023-06-19 09:42:00",5.724400000000001,-18.343399999999995,0,0,0.019094,-0.056
"2023-06-19 09:43:00",46.483799999999995,-279.5202000000001,0,-0.04754587,0.00633788,-0.9353
"2023-06-19 09:44:00",4.791799999999999,-37.21790000000002,0,0,0,0
"2023-06-19 09:45:00",120.1961,-46.38539999999999,0,0,0.38591927000000004,-0.21300000000000002
"2023-06-19 09:46:00",14.701200000000002,-25.5463,0,0,0.026109809999999997,-0.0105
"2023-06-19 09:47:00",8.361700000000003,-3.0067999999999997,0,0,0,-0.002
"2023-06-19 09:48:00",11.4794,-25.191200000000006,0,0,0,0
"2023-06-19 09:49:00",7.6061000000000005,-16.954500000000003,0,0,0,0
"2023-06-19 09:50:00",17.4671,-7.1202000000000005,0,0,0.00955834,-0.0033805
"2023-06-19 09:51:00",35.04319999999999,-19.149599999999996,0,0,0.31032061,0
"2023-06-19 09:52:00",42.186400000000006,-52.56080000000001,0,0,0.06810033,0
"2023-06-19 09:53:00",23.772000000000002,-9.248699999999998,0,0,0.0395673,0
"2023-06-19 09:54:00",43.5111,-17.77539999999999,0,0,0,-0.00220247
"2023-06-19 09:55:00",9.883899999999995,-14.993999999999998,0,0,0.21465847,0
"2023-06-19 09:56:00",9.137999999999996,-13.211500000000004,0,0,0.108075,0
"2023-06-19 09:57:00",18.779199999999996,-3.5389999999999997,0,0,0,0
"2023-06-19 09:58:00",20.7747,-6.351399999999999,0,0,0,-0.01937329
"2023-06-19 09:59:00",8.455800000000002,-47.11129999999999,0,0,0,0
"2023-06-19 10:00:00",14.163399999999998,-2.0346,0,0,0,-0.002
"2023-06-19 10:01:00",22.12800000000001,-24.5697,0,0,0,0
"2023-06-19 10:02:00",50.28979999999999,-18.41049999999998,0,0,0.002,-0.10800000000000001
"2023-06-19 10:03:00",13.568999999999999,-19.728000000000005,0,0,0.0135927,-0.13756100000000002
"2023-06-19 10:04:00",12.702099999999998,-15.4923,0,0,0,-0.01416574
"2023-06-19 10:05:00",20.478600000000007,-28.584600000000002,0,-0.00531014,0,0
"2023-06-19 10:06:00",16.086699999999997,-35.85920000000001,0,0,0.002,0
"2023-06-19 10:07:00",4.746499999999998,-3.0933,0,0,0.11898312,0
"2023-06-19 10:08:00",4.124200000000001,-8.127400000000002,0,0,3.5362459999999993,0
"2023-06-19 10:09:00",13.144199999999996,-18.3795,0,0,0,-0.40248350000000005
"2023-06-19 10:10:00",8.179100000000002,-11.4041,0,0,0.02368966,-0.002
"2023-06-19 10:11:00",33.46370000000002,-5.846299999999999,0,0,0,0
"2023-06-19 10:12:00",37.20589999999999,-63.87180000000001,0,0,0.05,-3.046
"2023-06-19 10:13:00",12.603100000000001,-12.860999999999999,0,0,0,0
"2023-06-19 10:14:00",10.184999999999999,-5.9115,0,0,0.0077058100000000004,-1.087381
"2023-06-19 10:15:00",5.524100000000001,-3.617300000000001,0,0,0.00355452,0
"2023-06-19 10:16:00",44.8637,-83.23689999999996,0,0,0.09286941,-0.21508000000000002
"2023-06-19 10:17:00",29.45310000000001,-6.7581000000000016,0,0,0,0
"2023-06-19 10:18:00",7.518,-14.996500000000001,0,0,0,0
"2023-06-19 10:19:00",9.4065,-32.117900000000006,0,0,0.03169458,0
"2023-06-19 10:20:00",11.1192,-6.077399999999995,0,0,0,0
"2023-06-19 10:21:00",7.380399999999999,-56.59170000000002,0,0,0,0
"2023-06-19 10:22:00",112.15050000000002,-106.7126,0,0,0,0
"2023-06-19 10:23:00",4.4289000000000005,-59.83170000000001,0,0,0.00585493,0
"2023-06-19 10:24:00",57.97579999999999,-33.128800000000005,0,0,0,-0.1
"2023-06-19 10:25:00",1.5342000000000005,-19.854,0,0,0,0
"2023-06-19 10:26:00",26.332699999999985,-33.45680000000001,0,0,0,0
"2023-06-19 10:27:00",22.545300000000005,-9.3945,0,0,0.0995,0
"2023-06-19 10:28:00",104.09010000000002,-0.7948999999999999,0,0,0.126808,-0.16999999999999998
"2023-06-19 10:29:00",17.0947,-5.1666,0,0,2.054779,0
"2023-06-19 10:30:00",158.49679999999995,-5.9671,0,0,0.15986343,-0.03143
"2023-06-19 10:31:00",3.3683,-61.931,0,0,0,0
"2023-06-19 10:32:00",3.596800000000001,-6.824400000000001,0,-0.008,0.01110432,-0.036
"2023-06-19 10:33:00",203.30069999999998,-150.80670000000018,0,0,0.035602,-0.44673973000000006
"2023-06-19 10:34:00",18.934800000000003,-11.973399999999998,0,0,0.16219571000000002,0
"2023-06-19 10:35:00",129.86400000000003,-20.379499999999997,0,0,6.045593259999998,0
"2023-06-19 10:36:00",5.789700000000001,-11.702699999999998,0,0,0,-0.01062935
"2023-06-19 10:37:00",4.616699999999999,-68.43299999999998,0,0,0,0
"2023-06-19 10:38:00",12.791699999999999,-9.433399999999995,0,0,0.25634802,0
"2023-06-19 10:39:00",6.062599999999999,-21.7898,0,0,0.002,-0.013031069999999999
"2023-06-19 10:40:00",17.9963,-5.965800000000001,0,0,0,-0.00281874
"2023-06-19 10:41:00",52.04100000000002,-7.383699999999999,0,0,4.33627286,-0.004
"2023-06-19 10:42:00",102.5336,-60.5251,0,0,0.55767759,0
"2023-06-19 10:43:00",8.273800000000001,-21.3972,0,0,0.05723653,0
"2023-06-19 10:44:00",15.4301,-17.1378,0,0,0,0
"2023-06-19 10:45:00",11.808399999999999,-125.0012,0,0,0.05,-0.22984535
"2023-06-19 10:46:00",16.292200000000005,-14.668999999999999,0,0,0,0
"2023-06-19 10:47:00",25.007800000000003,-11.3283,0,0,0,-0.2
"2023-06-19 10:48:00",17.723799999999997,-6.408700000000002,0,0,0.19780999999999999,0
"2023-06-19 10:49:00",4.890899999999999,-2.2193999999999994,0,0,0,0
"2023-06-19 10:50:00",13.100300000000002,-52.417199999999994,0,0,0.08670002,-0.01326581
"2023-06-19 10:51:00",5.2663,-4.6057,0,0,0.00553373,0
"2023-06-19 10:52:00",6.510699999999999,-7.8095,0,0,0.03438605,-0.002
"2023-06-19 10:53:00",9.8657,-30.988599999999998,0,0,0,0
"2023-06-19 10:54:00",24.7142,-12.894800000000002,0,0,0.00316844,0
"2023-06-19 10:55:00",3.5932000000000004,-107.93620000000008,0,0,197.10776612999993,-3.1731338399999993
"2023-06-19 10:56:00",19.095399999999994,-17.0108,0,0,0.00317044,0
"2023-06-19 10:57:00",5.011499999999999,-12.633600000000007,0,0,0.0044391,-4.296055339999999
"2023-06-19 10:58:00",3.8463000000000007,-3.7944000000000004,0,0,0.03942516,-0.1066
"2023-06-19 10:59:00",2.3869,-10.6711,0,0,0,0
"2023-06-19 11:00:00",18.9339,-4.1852,0,0,0,-0.0298
"2023-06-19 11:01:00",25.537800000000008,-25.091899999999995,0,0,0.029469,-0.262
"2023-06-19 11:02:00",171.44270000000003,-57.90769999999997,0,0,0.00458275,0
"2023-06-19 11:03:00",16.3897,-11.649500000000003,0,-0.62589627,0.51542585,-0.016
"2023-06-19 11:04:00",37.15509999999999,-353.7877999999986,0,0,0,0
"2023-06-19 11:05:00",34.96330000000001,-68.34620000000001,0,-0.00017849,0.002,0
"2023-06-19 11:06:00",51.00099999999998,-52.683599999999984,0.03412475,0,0,0
"2023-06-19 11:07:00",4.7741,-24.291099999999997,0,0,0.002,-1
"2023-06-19 11:08:00",3.0245999999999995,-8.1999,0,0,0.01280811,0
"2023-06-19 11:09:00",26.435799999999997,-56.224999999999994,0.02498332,0,200.00588083,-3.695287159999999
"2023-06-19 11:10:00",76.5444,-54.46610000000001,0,0,70,-0.50327263
"2023-06-19 11:11:00",8.1301,-26.593399999999995,0,0,100.51330730000002,-0.68156629
"2023-06-19 11:12:00",45.237,-17.519399999999994,0,0,0,0
"2023-06-19 11:13:00",21.75819999999999,-6.521400000000001,0,0,0,0
"2023-06-19 11:14:00",5.586099999999999,-3.187699999999998,0,0,0,0
"2023-06-19 11:15:00",6.389600000000001,-25.551399999999997,0,0,0,0
"2023-06-19 11:16:00",12.226899999999995,-6.179500000000001,0,0,0,-0.002
"2023-06-19 11:17:00",11.6489,-3.296099999999999,0,0,0.01917,-0.00784427
"2023-06-19 11:18:00",9.6721,-7.435699999999999,0,0,0,0
"2023-06-19 11:19:00",48.1634,-9.907999999999996,0,0,0.02,0
"2023-06-19 11:20:00",35.155799999999985,-18.3312,0,0,0,-0.02311012
"2023-06-19 11:21:00",31.503100000000007,-1.5854000000000004,0,0,44.82853918000001,-6.181460819999999
"2023-06-19 11:22:00",8.1555,-11.2987,0.00244741,0,35.767097719999995,-14.261239999999999
"2023-06-19 11:23:00",20.437300000000004,-87.22089999999999,0.6000000000000001,0,0.03172026,0
"2023-06-19 11:24:00",6.805099999999999,-8.685500000000001,0,0,0.02367324,-0.0042330300000000005
"2023-06-19 11:25:00",29.360200000000006,-6.540799999999999,0,0,0,0
"2023-06-19 11:26:00",7.8153999999999995,-14.158300000000002,0,0,0.04,-0.01
"2023-06-19 11:27:00",9.388499999999997,-19.161799999999996,0.24444842,0,1.01397931,-0.04334743
"2023-06-19 11:28:00",3.224200000000001,-25.205199999999994,0,0,0.01721611,0
"2023-06-19 11:29:00",1.4467,-8.798599999999999,0.24441017999999998,0,0.19965178,0
"2023-06-19 11:30:00",6.639500000000001,-7.1093,0,0,0,0
