"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 11:09:00",8.358150000000009,-16.19602999999998,0.00959867,-0.0016279,0,0
"2023-06-19 11:10:00",12.434819999999988,-13.883089999999994,0,0,0.0012124,0
"2023-06-19 11:11:00",9.352779999999987,-41.888190000000044,0,0,0.017494129999999997,-0.33199703000000014
"2023-06-19 11:12:00",27.264870000000062,-8.073979999999993,0,0,0,-0.129904
"2023-06-19 11:13:00",20.570929999999997,-14.64575000000001,0.04046656,0,0.20215123000000002,-0.01553736
"2023-06-19 11:14:00",4.5418199999999995,-10.073960000000005,0,0,0.021401049999999998,-0.0534
"2023-06-19 11:15:00",11.143689999999992,-10.484780000000004,0.00370649,0,0,0
"2023-06-19 11:16:00",18.83950999999999,-12.090839999999995,0.0005,0,0.00354275,0
"2023-06-19 11:17:00",13.16714999999998,-25.44472,0,0,0.00606186,-0.0016975
"2023-06-19 11:18:00",9.160219999999999,-11.088009999999995,0,0,0,0
"2023-06-19 11:19:00",25.667360000000013,-9.27831,0,0,0,0
"2023-06-19 11:20:00",30.14876999999998,-19.397659999999984,0,0,0.0014190700000000001,0
"2023-06-19 11:21:00",23.53335000000004,-19.948379999999997,0,0,0.02593506,0
"2023-06-19 11:22:00",2.7179899999999977,-4.86533,0.0005,-0.00015957,0.000323,0
"2023-06-19 11:23:00",13.005249999999991,-33.81312000000004,0,-0.039099010000000003,0.00028195,-0.12349192999999999
"2023-06-19 11:24:00",11.432470000000007,-11.224160000000019,0.001,0,0,-0.0016798199999999998
"2023-06-19 11:25:00",11.986360000000005,-8.456919999999997,0.00726973,0,0.19432154000000001,0
"2023-06-19 11:26:00",4.016270000000005,-5.56441,0,-0.00306034,0.06661333000000003,0
"2023-06-19 11:27:00",3.264639999999998,-7.274779999999997,0,0,0.004,0
"2023-06-19 11:28:00",8.249419999999997,-14.65976,0,0,0.19547273999999998,0
"2023-06-19 11:29:00",7.479149999999998,-6.339809999999995,0,0,0.00426418,0
"2023-06-19 11:30:00",3.104239999999999,-2.202859999999999,0,0,0.0011256399999999998,0
"2023-06-19 11:31:00",8.065649999999996,-8.167130000000002,0,0,0.024298570000000002,-0.03123
"2023-06-19 11:32:00",12.702080000000002,-21.64407999999997,0,0,0,0
"2023-06-19 11:33:00",12.468659999999987,-12.645609999999994,0.0337,0,0,-0.269
"2023-06-19 11:34:00",32.065959999999954,-26.88745000000003,0,0,0.01890549,0
"2023-06-19 11:35:00",9.723089999999997,-22.80064000000001,0,-0.00063786,0,-0.004999999999999999
"2023-06-19 11:36:00",18.35019,-13.465440000000012,0,0,0.045570919999999994,-0.00756975
"2023-06-19 11:37:00",8.687929999999989,-19.504419999999996,0.18526772,0,0.0059117399999999995,-0.03817
"2023-06-19 11:38:00",61.05476000000005,-108.2834000000002,0.00066757,0,0,-0.41721459
"2023-06-19 11:39:00",68.90227000000004,-63.04766000000002,0,-0.0091,0.16269999999999998,-9.811676649999999
"2023-06-19 11:40:00",20.44552000000001,-40.68986000000011,0,0,0.01246538,0
"2023-06-19 11:41:00",32.95236000000002,-35.693129999999975,0,0,0.00047718,-0.00386095
"2023-06-19 11:42:00",21.732510000000012,-31.16956000000002,0.00191177,0,2.803867580000001,-0.00012
"2023-06-19 11:43:00",18.36794000000001,-42.339919999999935,0,0,0,-0.0040999999999999995
"2023-06-19 11:44:00",12.614510000000003,-9.280670000000008,0,0,0.00012,0
"2023-06-19 11:45:00",26.819720000000032,-24.020239999999998,0,0,0,0
"2023-06-19 11:46:00",12.859070000000012,-6.59572,0,0,0.0077777,0
"2023-06-19 11:47:00",24.395509999999966,-45.47756000000012,0,0,0,-0.3226783899999999
"2023-06-19 11:48:00",39.15857999999999,-30.05138,0,0,0.00097101,-0.14632270000000003
"2023-06-19 11:49:00",20.40963999999999,-17.784179999999964,0,0,0.07567523,-0.0151349
"2023-06-19 11:50:00",14.282769999999996,-22.10178000000001,0,0,0.00046581,-0.01093923
"2023-06-19 11:51:00",18.931389999999972,-11.70002000000001,0,0,0.00434394,-0.02447537
"2023-06-19 11:52:00",14.984340000000012,-31.88701000000002,0,0,0,-0.14657959999999998
"2023-06-19 11:53:00",6.987129999999994,-10.323260000000003,0.0955237,0,0.0031038,0
"2023-06-19 11:54:00",5.3158900000000004,-6.647479999999996,0,0,0,0
"2023-06-19 11:55:00",13.303290000000002,-10.611029999999994,0,0,0.03552273,-0.08893855
"2023-06-19 11:56:00",27.584870000000013,-12.90655,0,0,0.015351710000000001,-0.001
"2023-06-19 11:57:00",7.137869999999999,-10.884060000000003,0,0,0.00084643,-0.01693896
"2023-06-19 11:58:00",13.903730000000012,-8.080809999999998,0,0,0,0
"2023-06-19 11:59:00",22.120969999999982,-23.61728999999998,0.00125364,0,0,0
"2023-06-19 12:00:00",8.547580000000002,-8.657179999999997,0,0,0,0
"2023-06-19 12:01:00",49.58684,-17.297150000000002,0,0,0.39151495000000003,-0.036
"2023-06-19 12:02:00",21.00678,-16.585080000000023,0.0001965,0,0.00050619,-0.00169882
"2023-06-19 12:03:00",7.416220000000002,-14.504460000000007,0,0,0.02426062,-0.00069185
"2023-06-19 12:04:00",27.488999999999983,-44.239559999999976,0,0,0.01960261,-0.03478645
"2023-06-19 12:05:00",2.5629700000000004,-8.713599999999992,0,-0.0006864,0,0
"2023-06-19 12:06:00",6.04014,-10.498169999999998,0,-0.00046051999999999996,0.010448559999999999,-0.01386202
"2023-06-19 12:07:00",3.403639999999998,-12.070540000000001,0,0,0.189219,0
